обнять | @u1 обнял @u2
убить | @u1 убил @u2
поднять | @u1 поднял @u2
утопить | @u1 утопил @u2
поцеловать | @u1 поцеловал @u2
ударить | @u1 ударил @u2
помочь | @u1 помог @u2
поймать | @u1 поймал @u2
подарить | @u1 подарил @u2
пригласить | @u1 пригласил @u2
сразиться | @u1 сразился с @u2
спасать | @u1 спас @u2
обмануть | @u1 обманул @u2
забрать | @u1 забрал @u2
наказать | @u1 наказал @u2
погладить | @u1 погладил @u2
приласкать | @u1 приласкал @u2
закутать | @u1 закутал @u2 в плед
подарить цветы | @u1 подарил @u2 цветы
написать стих | @u1 написал стих для @u2
потанцевать | @u1 потанцевал с @u2
шептать на ушко | @u1 шептал @u2 на ушко
сделать комплимент | @u1 сделал комплимент @u2
угостить печеньем | @u1 угостил @u2 печеньем
построить снежную крепость | @u1 построил снежную крепость для @u2
принести горячий шоколад | @u1 принёс @u2 горячий шоколад
взять за руку | @u1 взял за руку @u2
показать звёзды | @u1 показал @u2 звёзды
покорить гору | @u1 покорил гору вместе с @u2
сделать сюрприз | @u1 сделал сюрприз для @u2
походить по лужам | @u1 походил по лужам с @u2
собирать ягоды | @u1 собирал ягоды с @u2
разделить радость | @u1 разделил радость с @u2
построить песочницу | @u1 построил песочницу для @u2
приготовить ужин | @u1 приготовил ужин для @u2
покормить | @u1 покормил @u2
обсудить мечты | @u1 обсудил мечты с @u2
разжечь костёр | @u1 разжёг костёр для @u2
построить кораблик | @u1 построил кораблик для @u2
закружить в танце | @u1 закружил @u2 в танце
загадать желание | @u1 загадал желание вместе с @u2
написать письмо | @u1 написал письмо для @u2
собирать пазлы | @u1 собирал пазлы с @u2
искать сокровища | @u1 искал сокровища вместе с @u2
показывать фокусы | @u1 показывал фокусы @u2
пригласить на пикник | @u1 пригласил @u2 на пикник
сочинить песню | @u1 сочинил песню для @u2
провести вечер | @u1 провёл вечер с @u2
построить замок | @u1 построил замок из песка для @u2
разделить секрет | @u1 разделил секрет с @u2
пойти на выставку | @u1 пошёл на выставку с @u2
собрать букет | @u1 собрал букет для @u2
поддержать | @u1 поддержал @u2 в трудную минуту
собрать вместе дождевые капли | @u1 собирал дождевые капли с @u2
рассказать сказку | @u1 рассказал сказку @u2
поцеловать в губы | @u1 поцеловал @u2 в губы
прижать к себе | @u1 прижал @u2 к себе
шептать ласки | @u1 шептал ласки @u2
обнять сзади | @u1 обнял @u2 сзади
потереть носами | @u1 потер носами с @u2
провести рукой по спине | @u1 провёл рукой по спине @u2
закрыть глаза | @u1 закрыл глаза @u2 поцелуем
дотронуться до губ | @u1 дотронулся до губ @u2
прикусить губу | @u1 прикусил губу @u2
погладить по волосам | @u1 погладил @u2 по волосам
пригласить в объятия | @u1 пригласил @u2 в объятия
положить голову на плечо | @u1 положил голову на плечо @u2
сделать массаж | @u1 сделал массаж @u2
потереть ладони | @u1 потер ладони @u2
обменяться взглядами | @u1 обменялся взглядами с @u2
шептать на ушко | @u1 шептал на ушко @u2
положить руку на бедро | @u1 положил руку на бедро @u2
сделать комплимент внешности | @u1 сделал комплимент внешности @u2
прижаться к щеке | @u1 прижался к щеке @u2
потереть плечи | @u1 потер плечи @u2
закутать в одеяло | @u1 закутал @u2 в одеяло
вызвать дождь | @u1 вызвал дождь для @u2
написать любовное письмо | @u1 написал любовное письмо для @u2
провести ночь под звёздами | @u1 провёл ночь под звёздами с @u2
укрыть от ветра | @u1 укрыл @u2 от ветра
выбраться на природу | @u1 выбрался на природу с @u2
рассказать анекдот | @u1 рассказал анекдот @u2
покататься на велосипеде | @u1 покатался на велосипеде с @u2
собрать грибы | @u1 собирал грибы с @u2
запустить воздушного змея | @u1 запустил воздушного змея с @u2
поднести кофе | @u1 поднёс кофе для @u2
провести урок танцев | @u1 провёл урок танцев для @u2
запечь пирог | @u1 запёк пирог для @u2
устроить вечер кино | @u1 устроил вечер кино с @u2
сшить костюм | @u1 сшил костюм для @u2
закатить вечернюю прогулку | @u1 закатил вечернюю прогулку с @u2
сделать открытку | @u1 сделал открытку для @u2
отвести в парк | @u1 отвёл @u2 в парк
сыграть на гитаре | @u1 сыграл на гитаре для @u2
накрыть стол | @u1 накрыл стол для @u2
прыгнуть в лужу | @u1 прыгнул в лужу с @u2
попробовать новую еду | @u1 попробовал новую еду с @u2
провести фотосессию | @u1 провёл фотосессию с @u2
вызвать такси | @u1 вызвал такси для @u2
нарисовать портрет | @u1 нарисовал портрет @u2
задать вопрос | @u1 задал вопрос @u2
рассмотреть звёзды в телескоп | @u1 рассмотрел звёзды в телескоп с @u2
позаботиться о питомце | @u1 позаботился о питомце @u2
украсить комнату | @u1 украсил комнату для @u2
поймать бабочку | @u1 поймал бабочку для @u2
сводить в ресторан | @u1 свёл @u2 в ресторан
провести вечер за чтением | @u1 провёл вечер за чтением с @u2
поделиться воспоминаниями | @u1 поделился воспоминаниями с @u2
отправить воздушный шар | @u1 отправил воздушный шар для @u2
провести занятие по рисованию | @u1 провёл занятие по рисованию для @u2
отправиться в путешествие | @u1 отправился в путешествие с @u2
сделать снежного ангела | @u1 сделал снежного ангела с @u2
отправить сообщение | @u1 отправил сообщение @u2
попробовать сладости | @u1 попробовал сладости с @u2
сделать массаж ног | @u1 сделал массаж ног @u2
подарить закладку | @u1 подарил закладку @u2
провести время в библиотеке | @u1 провёл время в библиотеке с @u2
отдать старую игрушку | @u1 отдал старую игрушку @u2
накормить птиц | @u1 накормил птиц вместе с @u2
накрыть пикник | @u1 накрыл пикник для @u2
расчесать волосы | @u1 расчесал волосы @u2
закутать в шарф | @u1 закутал @u2 в шарф
угостить чаем | @u1 угостил @u2 чаем
рассказать историю | @u1 рассказал историю @u2
поделиться секретом | @u1 поделился секретом с @u2
провести время в кафе | @u1 провёл время в кафе с @u2
сделать селфи | @u1 сделал селфи с @u2
угостить мороженым | @u1 угостил @u2 мороженым
написать книгу | @u1 написал книгу для @u2
показать интересное место | @u1 показал интересное место @u2
провести вечер за настольными играми | @u1 провёл вечер за настольными играми с @u2
дарить комплименты | @u1 дарил комплименты @u2
спасать от дождя | @u1 спас @u2 от дождя
потрогать облака | @u1 потрогал облака вместе с @u2
узнать новую историю | @u1 узнал новую историю от @u2
слушать музыку | @u1 слушал музыку с @u2
принять участие в конкурсе | @u1 принял участие в конкурсе с @u2
поиграть в прятки | @u1 поиграл в прятки с @u2
строить модель | @u1 построил модель для @u2
рассмотреть разные книги | @u1 рассмотрел разные книги с @u2
отправить подарок | @u1 отправил подарок @u2
планировать отпуск | @u1 планировал отпуск с @u2
сделать зарисовки | @u1 сделал зарисовки для @u2
развесить гирлянды | @u1 развесил гирлянды для @u2
нарисовать комикс | @u1 нарисовал комикс для @u2
загадывать желания | @u1 загадывал желания с @u2
поиграть на улице | @u1 поиграл на улице с @u2
устроить день спа | @u1 устроил день спа для @u2
передать привет | @u1 передал привет @u2
рассказать о мечтах | @u1 рассказал о мечтах @u2
вместе погулять по пляжу | @u1 погулял по пляжу с @u2
обсудить планы | @u1 обсудил планы с @u2
сделать домашнее задание | @u1 сделал домашнее задание с @u2
отпраздновать событие | @u1 отпраздновал событие с @u2
изучить новый язык | @u1 изучил новый язык вместе с @u2
повесить картины | @u1 повесил картины для @u2
делиться новостями | @u1 делился новостями с @u2
устроить соревнование | @u1 устроил соревнование с @u2
изучить астрономию | @u1 изучил астрономию с @u2
зажечь свечи | @u1 зажёг свечи для @u2
обсудить погоду | @u1 обсудил погоду с @u2
провести праздник | @u1 провёл праздник для @u2
забрать с работы | @u1 забрал @u2 с работы
рассмотреть старые фотографии | @u1 рассмотрел старые фотографии с @u2
устроить встречу | @u1 устроил встречу с @u2
изучить новую кухню | @u1 изучил новую кухню с @u2
увидеть радугу | @u1 увидел радугу с @u2
провести день в музее | @u1 провёл день в музее с @u2
приготовить завтрак | @u1 приготовил завтрак для @u2
дать совет | @u1 дал совет @u2
пригласить на вечернюю прогулку | @u1 пригласил @u2 на вечернюю прогулку
поделиться последними новостями | @u1 поделился последними новостями с @u2
заняться спортом | @u1 занялся спортом с @u2
провести день на пляже | @u1 провёл день на пляже с @u2
сделать укол | @u1 сделал укол @u2
намазать мазь | @u1 намазал мазь на @u2
измерить температуру | @u1 измерил температуру @u2
наложить повязку | @u1 наложил повязку на @u2
сделать перевязку | @u1 сделал перевязку @u2
выписать рецепт | @u1 выписал рецепт для @u2
сделать анализ | @u1 сделал анализ крови у @u2
послушать сердце | @u1 послушал сердце @u2
назначить лекарство | @u1 назначил лекарство для @u2
провести осмотр | @u1 провёл осмотр @u2
сделать укол в ягодицу | @u1 сделал укол в ягодицу @u2
сделать ингаляцию | @u1 сделал ингаляцию @u2
замерить давление | @u1 замерил давление @u2
провести физиотерапию | @u1 провёл физиотерапию для @u2
записать в медицинскую карту | @u1 записал в медицинскую карту @u2
дать пить лекарство | @u1 дал @u2 пить лекарство
положить на капельницу | @u1 положил @u2 на капельницу
проверить пульс | @u1 проверил пульс @u2
сделать укол в руку | @u1 сделал укол в руку @u2
осмотреть рану | @u1 осмотрел рану @u2
наклеить пластырь | @u1 наклеил пластырь на @u2
провести ЭКГ | @u1 провёл ЭКГ @u2
сделать рентген | @u1 сделал рентген @u2
очистить рану | @u1 очистил рану @u2
помочь с передвижением | @u1 помог @u2 с передвижением
дать советы по восстановлению | @u1 дал советы по восстановлению @u2
сделать массаж | @u1 сделал массаж @u2
напомнить о приеме лекарств | @u1 напомнил @u2 о приеме лекарств
провести дыхательную гимнастику | @u1 провёл дыхательную гимнастику с @u2
приготовить отвары | @u1 приготовил отвары для @u2
начать игру | @u1 начал игру с @u2
бросить кубик | @u1 бросил кубик для @u2
выбрать персонажа | @u1 выбрал персонажа для @u2
сразиться с врагом | @u1 сразился с врагом вместе с @u2
выполнить задание | @u1 выполнил задание для @u2
собрать ресурсы | @u1 собрал ресурсы с @u2
построить базу | @u1 построил базу для @u2
создать артефакт | @u1 создал артефакт для @u2
найти сокровище | @u1 нашёл сокровище вместе с @u2
пройти уровень | @u1 прошёл уровень с @u2
обменяться предметами | @u1 обменялся предметами с @u2
защитить базу | @u1 защитил базу вместе с @u2
исследовать карту | @u1 исследовал карту с @u2
получить награду | @u1 получил награду от @u2
завершить квест | @u1 завершил квест с @u2
поднять уровень | @u1 поднял уровень с @u2
собрать команду | @u1 собрал команду с @u2
создать стратегию | @u1 создал стратегию для @u2
сразиться с боссом | @u1 сразился с боссом вместе с @u2
